singular,plural,past
conditions,condition,conditioned
condoles,condole,condoled
condones,condone,condoned
conduces,conduce,conduced
conducts,conduct,conducted
cones,cone,coned
confederates,confederate,confederated
confesses,confess,confessed
confides,confide,confided
configures,configure,configured
confines,confine,confined
confirms,confirm,confirmed
confiscates,confiscate,confiscated
conflicts,conflict,conflicted
conforms,conform,conformed
confounds,confound,confounded
confronts,confront,confronted
confuses,confuse,confused
confutes,confute,confuted
congeals,congeal,congealed
congests,congest,congested
conglomerates,conglomerate,conglomerated
congratulates,congratulate,congratulated
congregates,congregate,congregated
congresses,congress,congressed
conjectures,conjecture,conjectured
conjoins,conjoin,conjoined
conjugates,conjugate,conjugated
conjures,conjure,conjured
conks,conk,conked
connects,connect,connected
connives,connive,connived
connotes,connote,connoted
conquers,conquer,conquered
cons,con,conned
conscripts,conscript,conscripted
consecrates,consecrate,consecrated
consents,consent,consented
conserves,conserve,conserved
considers,consider,considered
consigns,consign,consigned
consists,consist,consisted
consoles,console,consoled
consolidates,consolidate,consolidated
consorts,consort,consorted
conspires,conspire,conspired
constipates,constipate,constipated
constitutes,constitute,constituted
constrains,constrain,constrained
constricts,constrict,constricted
constructs,construct,constructed
construes,construe,construed
consults,consult,consulted
consumes,consume,consumed
consummates,consummate,consummated
contacts,contact,contacted
contains,contain,contained
contaminates,contaminate,contaminated
contemplates,contemplate,contemplated
contends,contend,contended
contents,content,contented
contests,contest,contested
continues,continue,continued
contorts,contort,contorted
contours,contour,contoured
contracts,contract,contracted
contradicts,contradict,contradicted
contrasts,contrast,contrasted
contravenes,contravene,contravened
contributes,contribute,contributed
contrives,contrive,contrived
controls,control,controlled
controverts,controvert,controverted
contuses,contuse,contused
convalesces,convalesce,convalesced
convenes,convene,convened
converges,converge,converged
converses,converse,conversed
converts,convert,converted
conveys,convey,conveyed
convicts,convict,convicted
convinces,convince,convinced
convokes,convoke,convoked
convoys,convoy,convoyed
convulses,convulse,convulsed
cooks,cook,cooked
cools,cool,cooled
coops,coop,cooped
coos,coo,cooed
copes,cope,coped
copies,copy,copied
coppers,copper,coppered
coppices,coppice,coppiced
copulates,copulate,copulated
copyrights,copyright,copyrighted
cordons,cordon,cordoned
cords,cord,corded
cores,core,cored
corks,cork,corked
corkscrews,corkscrew,corkscrewed
corners,corner,cornered
corns,corn,corned
corrals,corral,corralled
corrects,correct,corrected
corresponds,correspond,corresponded
corroborates,corroborate,corroborated
corrodes,corrode,corroded
corrugates,corrugate,corrugated
corrupts,corrupt,corrupted
corsets,corset,corseted
coruscates,coruscate,coruscated
costars,costar,costarred
costs,cost,cost
costumes,costume,costumed
couches,couch,couched
coughs,cough,coughed
counsels,counsel,counselled
countenances,countenance,countenanced
counteracts,counteract,counteracted
counterattacks,counterattack,counterattacked
counterbalances,counterbalance,counterbalanced
counterclaims,counterclaim,counterclaimed
counterfeits,counterfeit,counterfeited
countermands,countermand,countermanded
counters,counter,countered
countersigns,countersign,countersigned
countersinks,countersink,countersank
counterweights,counterweight,counterweighted
counts,count,counted
couples,couple,coupled
courses,course,coursed
courts,court,courted
covenants,covenant,covenanted
covers,cover,covered
covets,covet,coveted
cowers,cower,cowered
cows,cow,cowed
cozens,cozen,cozened
crabs,crab,crabbed
crackles,crackle,crackled
cracks,crack,cracked
cradles,cradle,cradled
crafts,craft,crafted
cramps,cramp,cramped
crams,cram,crammed
cranes,crane,craned
cranks,crank,cranked
crankshafts,crankshaft,crankshafted
crapes,crape,craped
crashes,crash,crashed
craters,crater,cratered
crates,crate,crated
craves,crave,craved
crawls,crawl,crawled
crayons,crayon,crayoned
crazes,craze,crazed
creaks,creak,creaked
creams,cream,creamed
creases,crease,creased
creates,create,created
credentials,credential,credentialled
credits,credit,credited
creeps,creep,crept
cremates,cremate,cremated
creosotes,creosote,creosoted
crepes,crepe,creped
crests,crest,crested
cricks,crick,cricked
cries,cry,cried
crimps,crimp,crimped
crimsons,crimson,crimsoned
cringes,cringe,cringed
crinkles,crinkle,crinkled
cripples,cripple,crippled
crisps,crisp,crisped
crisscrosses,crisscross,crisscrossed
criticizes,criticize,criticized
critiques,critique,critiqued
croaks,croak,croaked
crochets,crochet,crocheted
crocks,crock,crocked
crooks,crook,crooked
croons,croon,crooned
crops,crop,cropped
crossbreeds,crossbreed,cross-bred
crosses,cross,crossed
crouches,crouch,crouched
crowds,crowd,crowded
crowns,crown,crowned
crows,crow,crowed
crucifies,crucify,crucified
cruises,cruise,cruised
crumbles,crumble,crumbled
crumples,crumple,crumpled
crunches,crunch,crunched
crusades,crusade,crusaded
crushes,crush,crushed
crusts,crust,crusted
crutches,crutch,crutched
cubes,cube,cubed
cuckolds,cuckold,cuckolded
